Event,Name,Age,Weight Class,Last Weight-In,Height,Reach,Born,Current Streak,UFC Competition,First Fight,Last Fight,Fight out of,Wins,Loss,Draws,No Contest
UFC 240: Holloway vs. Edgar,"최승우, Choi Seung Woo",26,Featherweight,145.0 lbs,"5'11"" (181cm)","74.5"" (189cm)",South Korea,1 Loss,2,2015-06-27,"April 20, 2019","Seoul, South Korea",8,2,0,0
UFC 240: Holloway vs. Edgar,Krzysztof Jotko,29,Middleweight,185.0 lbs,"6'1"" (185cm)","77.0"" (196cm)","Elbląg, Poland",1 Win,12,2010-06-18,"April 20, 2019","Orneta, Poland",20,4,0,0
UFC 240: Holloway vs. Edgar,Marc-André Barriault,29,Middleweight,185.0 lbs,"6'0"" (183cm)","73.0"" (185cm)","Gatineau, Quebec, Canada",1 Loss,2,2012-05-11,"May 04, 2019","Quebec City, Quebec",15,5,0,0
UFC 240: Holloway vs. Edgar,Giacomo Lemos,29,Heavyweight,N/A,"6'3"" (191cm)",N/A,Brazil,6 Wins,1,2016-06-04,"April 08, 2019","Florianopolis, Santa Catarina, Brazil",6,0,0,0
UFC 240: Holloway vs. Edgar,Tanner Boser,27,Heavyweight,249.0 lbs,"6'2"" (188cm)",N/A,"Bonnyville, Alberta, Canada",1 Win,1,2012-10-05,"May 24, 2019","Bonnyville, Alberta",16,5,1,0
UFC on ESPN 5,Claudio Henrique Da Silva,36,Welterweight,170.0 lbs,"5'11"" (180cm)","71.0"" (180cm)","Rondonopolis, Mato Grosso, Brazil",13 Wins,5,2007-11-10,"March 16, 2019","Minas Gerais, Brazil",13,1,0,0
UFC on ESPN 5,"Ramazan Dadaevich Emeev, Рамазан Эмеев",32,Welterweight,171.0 lbs,"5'11"" (180cm)","68.5"" (174cm)",Azerbaijan,7 Wins,4,2009-10-24,"September 15, 2018","Makhachkala, Russia",18,3,0,0
UFC on ESPN 5,Joaquim Antônio Magalhães Silva,30,Lightweight,155.0 lbs,"5'8"" (173cm)","69.0"" (175cm)","Anapolis, Goias, Brazil",1 Win,6,2010-10-15,"December 15, 2018","Curitiba, Parana, Brazil",11,1,0,0
UFC on ESPN 5,Nasrat Mohammad Haqparast,23,Lightweight,156.0 lbs,"5'10"" (178cm)","72.0"" (183cm)",Germany,2 Wins,4,2012-12-15,"October 27, 2018","Hamburg, Germany",10,2,0,0
UFC on ESPN 5,Matthew Schnell,29,Bantamweight,135.0 lbs,"5'8"" (173cm)","72.5"" (184cm)",United States,3 Wins,6,2009-05-09,"March 09, 2019","Shreveport, Louisiana",23,6,0,0
UFC on ESPN 5,Jordan Espinosa,29,Flyweight,126.0 lbs,"5'7"" (170cm)","69.5"" (177cm)",United States,5 Wins,2,2010-09-25,"March 23, 2019","Albuquerque, New Mexico",14,6,0,1
UFC on ESPN+ 14,Cyril Gané,28,Heavyweight,244.0 lbs,"6'5"" (196cm)","83.0"" (211cm)",France,3 Wins,1,2018-08-02,"May 24, 2019","Vircennes, France",3,0,0,0
UFC on ESPN+ 14,Raphael Pessoa,30,Heavyweight,263.6 lbs,"6'3"" (190cm)",N/A,Brazil,9 Wins,1,2016-12-10,"September 21, 2018","Rio de Janeiro, Rio de Janeiro, Brazil",9,0,0,0
UFC on ESPN+ 14,Oskar Piechota,29,Middleweight,185.5 lbs,"6'0"" (183cm)","76.0"" (193cm)",Poland,1 Loss,4,2011-03-05,"July 06, 2018","Gdańsk, Poland",11,1,1,0
UFC on ESPN+ 14,Rodolfo Vieira Srour,29,Middleweight,186.1 lbs,"6'1"" (185cm)","74.0"" (188cm)",Brazil,5 Wins,1,2017-02-11,"June 08, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",5,0,0,0
UFC on ESPN+ 14,Tecia Torres,29,Strawweight,115.0 lbs,"5'1"" (155cm)","61.0"" (155cm)",United States,3 Losses,11,2011-09-23,"March 02, 2019","Coconut Creek, Florida",17,4,0,0
UFC on ESPN+ 14,Marina Alcalde Rodriguez,32,Strawweight,114.8 lbs,"5'6"" (168cm)","65.0"" (165cm)","Bage, Rio Grande do Sul, Brazil",11 Wins,3,2014-10-04,"March 30, 2019","Florianopolis, Santa Catarina, Brazil",11,0,1,0
UFC on ESPN+ 14,Raulian Paiva Frazão,23,Flyweight,125.0 lbs,"5'8"" (173cm)","69.5"" (177cm)",Brazil,1 Loss,2,2013-10-01,"February 09, 2019","Santana, Amapa, Brazil",18,2,0,0
UFC on ESPN+ 14,Rogério Bontorin,27,Flyweight,124.5 lbs,"5'5"" (165cm)","67.0"" (170cm)","Adrianopolis, Parana, Brazil",3 Wins,2,2013-04-06,"February 02, 2019","Colombo, Parana, Brazil",15,1,0,1
UFC on ESPN+ 14,Ashlee Evans-Smith,31,Flyweight,126.0 lbs,"5'8"" (173cm)","67.5"" (171cm)",United States,1 Loss,8,2010-12-17,"February 17, 2019","Lake Forest, California",9,7,0,0
UFC on ESPN+ 14,Taila Santos,25,Flyweight,125.0 lbs,"5'6"" (168cm)","68.0"" (173cm)","Jaragua do Sul, Santa Catarina, Brazil",1 Loss,2,2013-11-23,"February 02, 2019","Balneario Camboriu, Santa Catarina, Brazil",15,1,0,0
UFC on ESPN+ 14,Geraldo de Freitas Jr.,27,Featherweight,145.5 lbs,"5'9"" (175cm)","72.5"" (184cm)",Brazil,7 Wins,2,2012-05-26,"February 02, 2019","Conselheiro Lafaiete, Minas Gerais, Brazil",12,4,0,0
UFC on ESPN+ 14,Christopher Gutierrez,28,Bantamweight,135.5 lbs,"5'9"" (175cm)","67.0"" (170cm)","Greenville, Texas",1 Win,3,2011-03-19,"March 23, 2019","Englewood, Colorado",23,5,1,0
UFC on ESPN+ 14,Rachael Ostovich,28,Flyweight,125.8 lbs,"5'3"" (160cm)","62.0"" (157cm)",United States,2 Losses,4,2013-11-16,"January 19, 2019","Honolulu, Hawaii",5,5,0,0
UFC on ESPN+ 14,Veronica Macedo,23,Flyweight,126.0 lbs,"5'4"" (163cm)","64.0"" (163cm)","Caracas, Venezuela",3 Losses,4,2014-09-27,"February 23, 2019",Caracas,7,3,1,0
UFC on ESPN+ 14,Enrique Jhonatan Barzola Acosta,30,Featherweight,145.0 lbs,"5'7"" (170cm)","70.0"" (178cm)","Lima, Peru",1 Loss,8,2012-12-12,"March 30, 2019","Lima, Peru",15,4,1,0
UFC on ESPN+ 14,Robert Moffett,29,Featherweight,145.5 lbs,"5'10"" (178cm)","74.0"" (188cm)",United States,1 Loss,3,2010-03-10,"March 23, 2019","Homewood, Illinois",20,4,0,0
UFC on ESPN+ 14,Рафаэль Физиев,26,Lightweight,155.0 lbs,"5'9"" (175cm)","71.5"" (182cm)",Kazakhstan,1 Loss,2,2015-07-18,"April 20, 2019","Phuket, Thailand",6,1,0,0
UFC on ESPN+ 14,Alex da Silva Coelho,23,Lightweight,156.0 lbs,"5'10"" (178cm)","73.0"" (185cm)",Brazil,1 Loss,2,2014-01-18,"April 20, 2019","Balneario Camboriu, Santa Catarina, Brazil",20,2,0,0
UFC 241: Cormier vs. Miocic 2,Daniel Cormier,40,Heavyweight,251.2 lbs,"5'11"" (181cm)","72.5"" (184cm)","Lafayette, Louisiana, United States",7 Wins,14,2009-09-25,"November 03, 2018","San Jose, California",22,1,0,1
UFC 241: Cormier vs. Miocic 2,Stipe Miocic,36,Heavyweight,242.5 lbs,"6'4"" (194cm)","80.0"" (203cm)","Euclid, Ohio, United States",1 Loss,16,2006-08-03,"July 07, 2018","Independence, Ohio",23,3,0,0
UFC 241: Cormier vs. Miocic 2,Nathan Donald Diaz,34,Welterweight,170.5 lbs,"6'0"" (183cm)","76.0"" (193cm)","Stockton, California, United States",1 Loss,24,2004-10-21,"August 20, 2016","Stockton, California",19,11,0,0
UFC 241: Cormier vs. Miocic 2,Anthony Paul Pettis,32,Welterweight,171.0 lbs,"5'10"" (177cm)","72.0"" (183cm)","Milwaukee, Wisconsin, United States",1 Win,17,2007-01-27,"March 23, 2019","Milwaukee, Wisconsin",22,8,0,0
UFC 241: Cormier vs. Miocic 2,Yoel Romero Palacio,42,Middleweight,185.2 lbs,"6'0"" (183cm)","73.5"" (187cm)","Pinar Del Rio, Cuba",1 Loss,12,2009-12-20,"June 09, 2018","Coconut Creek, Florida",13,3,0,0
UFC 241: Cormier vs. Miocic 2,Paulo Henrique Costa,28,Middleweight,185.5 lbs,"6'0"" (183cm)","72.0"" (183cm)","Belo Horizonte, Minas Gerais, Brazil",12 Wins,5,2012-02-25,"July 07, 2018","Belo Horizonte, Minas Gerais, Brazil",12,0,0,0
UFC 241: Cormier vs. Miocic 2,Raphael Assunção,36,Bantamweight,136.0 lbs,"5'6"" (168cm)","67.5"" (171cm)","Recife, Pernambuco, Brazil",1 Loss,15,2003-08-22,"February 02, 2019","Alpharetta, Georgia",28,6,0,0
UFC 241: Cormier vs. Miocic 2,Cory Sandhagen,27,Bantamweight,135.0 lbs,"5'11"" (180cm)","71.0"" (180cm)",United States,6 Wins,5,2012-09-14,"April 27, 2019","Aurora, Colorado",15,2,0,0
UFC 241: Cormier vs. Miocic 2,Derek T. Brunson,35,Middleweight,185.8 lbs,"6'1"" (186cm)","78.0"" (198cm)","Wilmington, North Carolina, United States",1 Win,16,2010-01-23,"May 04, 2019","Albuquerque, New Mexico",21,7,0,0
UFC 241: Cormier vs. Miocic 2,Ian Heinisch,30,Middleweight,185.6 lbs,"5'11"" (180cm)","71.0"" (180cm)",United States,5 Wins,3,2014-08-23,"May 18, 2019","Parker, Colorado",16,1,0,0
UFC 241: Cormier vs. Miocic 2,John Makdessi,34,Lightweight,154.0 lbs,"5'8"" (173cm)","68.0"" (173cm)","Halifax, Nova Scotia, Canada",3 Wins,17,2008-07-18,"March 23, 2019","Laval, Quebec",18,6,0,0
UFC 241: Cormier vs. Miocic 2,Devonte Smith,25,Lightweight,156.0 lbs,"5'8"" (173cm)","76.0"" (193cm)","Bedford, Ohio",6 Wins,3,2011-12-03,"February 09, 2019","Englewood, Colorado",17,3,1,0
UFC 241: Cormier vs. Miocic 2,Sodiq Yusuff,26,Featherweight,145.5 lbs,"5'9"" (175cm)","71.0"" (180cm)","Lagos, Nigeria",4 Wins,3,2013-11-30,"March 30, 2019","New Carrollton, Maryland",16,1,0,0
UFC 241: Cormier vs. Miocic 2,Gabriel Benítez,31,Featherweight,145.0 lbs,"5'8"" (173cm)","71.0"" (180cm)",Mexico,2 Wins,8,2007-07-28,"May 19, 2018","Tijuana, Baja California, Mexico",21,6,0,0
UFC 241: Cormier vs. Miocic 2,Poliana Botelho,30,Flyweight,125.0 lbs,"5'8"" (173cm)","67.0"" (170cm)","Muriae, Minas Gerais, Brazil",1 Win,5,2013-09-28,"April 13, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",8,2,0,0
UFC 241: Cormier vs. Miocic 2,Марина Мороз,27,Flyweight,125.3 lbs,"5'7"" (170cm)","67.0"" (170cm)","Volnogorsk, Ukraine",1 Win,8,2013-11-23,"March 30, 2019","Volnogorsk, Ukraine",9,3,0,0
UFC 241: Cormier vs. Miocic 2,Sabina Mazo Isaza,22,Flyweight,125.5 lbs,"5'7"" (170cm)","70.0"" (178cm)","Medellín, Antioquia, Colombia",1 Loss,2,2015-03-26,"March 30, 2019","Huntington Beach, California",6,1,0,0
UFC 241: Cormier vs. Miocic 2,Shana Dobson,30,Flyweight,126.0 lbs,"5'6"" (168cm)","69.0"" (175cm)",United States,1 Loss,3,2015-01-24,"April 14, 2018",Texas,5,2,0,0
UFC 241: Cormier vs. Miocic 2,Hannah Cifers,26,Strawweight,114.0 lbs,"5'2"" (157cm)","62.0"" (157cm)","Oxford, North Carolina",1 Win,3,2012-07-28,"March 02, 2019","Wake Forest, North Carolina",13,4,0,0
UFC 241: Cormier vs. Miocic 2,Jodie Esquibel,33,Strawweight,116.0 lbs,"5'1"" (155cm)","64.0"" (163cm)","Albuquerque, New Mexico",3 Losses,4,2004-09-03,"April 27, 2019","Albuquerque, New Mexico",7,5,0,0
UFC on ESPN+ 15: Andrade vs. Zhang,Jéssica Andrade,27,Strawweight,114.5 lbs,"5'2"" (157cm)","62.0"" (157cm)","Umuarama, Parana, Brazil",4 Wins,16,2011-09-06,"May 11, 2019","Parana, Brazil",20,6,0,0
UFC on ESPN+ 15: Andrade vs. Zhang,"张伟丽, Zhang Weli",29,Strawweight,116.0 lbs,"5'4"" (163cm)","63.0"" (160cm)",China,19 Wins,4,2013-11-09,"March 02, 2019","Hebei, China",19,1,0,0
UFC on ESPN+ 15: Andrade vs. Zhang,"武亚楠, Wu Yanan",23,Flyweight,126.0 lbs,"5'9"" (174cm)","66.0"" (168cm)",China,1 Win,3,2013-11-16,"November 24, 2018",China,10,2,0,0
UFC on ESPN+ 15: Andrade vs. Zhang,Luana Carolina Carvalho de Souza,26,Flyweight,124.5 lbs,"5'6"" (168cm)","69.0"" (175cm)",Brazil,6 Wins,2,2015-01-24,"May 11, 2019","Sao Paulo, Sao Paulo, Brazil",6,1,0,0
UFC on ESPN+ 15: Andrade vs. Zhang,Scott Holtzman,35,Lightweight,156.0 lbs,"5'9"" (175cm)","70.0"" (178cm)",United States,1 Loss,9,2010-01-30,"February 17, 2019","Knoxville, Tennessee",14,3,0,0
UFC on ESPN+ 15: Andrade vs. Zhang,"김동현, Kim Dong Hyun; 마동현, Ma Dong Hyun",30,Lightweight,156.0 lbs,"5'11"" (180cm)","70.5"" (179cm)",South Korea,1 Loss,7,2007-03-11,"February 09, 2019","Busan, South Korea",16,9,3,0
UFC 242: Khabib vs. Poirier,"Khabib Nurmagomedov, Хабиб Нурмагомедов",30,Lightweight,155.0 lbs,"5'10"" (178cm)","70.0"" (178cm)","Makhachkala, Russian SFSR, Soviet Union",27 Wins,12,2008-09-13,"October 06, 2018","San Jose, California",27,0,0,0
UFC 242: Khabib vs. Poirier,Dustin Glenn Poirier,30,Lightweight,154.5 lbs,"5'9"" (175cm)","73.0"" (185cm)","Lafayette, Louisiana, United States",5 Wins,23,2007-12-08,"April 13, 2019","Coconut Creek, Florida",32,5,0,1
UFC 242: Khabib vs. Poirier,Curtis Blaydes,28,Heavyweight,262.0 lbs,"6'4"" (193cm)","80.0"" (203cm)","Naperville, Illinois",1 Win,10,2012-09-29,"March 23, 2019","Chicago, Illinois",16,2,0,1
UFC 242: Khabib vs. Poirier,Shamil Abdurakhimov,37,Heavyweight,258.0 lbs,"6'3"" (191cm)","76.0"" (193cm)","Makhachkala, Dagestan",3 Wins,8,2008-04-19,"April 20, 2019","Rostov-on-Don, Russia",20,4,0,0
UFC 242: Khabib vs. Poirier,Ислам Махачев,27,Lightweight,155.0 lbs,"5'10"" (178cm)","70.5"" (179cm)","Dagestan, Russia",5 Wins,8,2010-08-01,"April 20, 2019","Makhachkala, Russia",17,1,0,0
UFC 242: Khabib vs. Poirier,Davi Ramos,32,Lightweight,156.0 lbs,"5'8"" (173cm)","72.5"" (184cm)","Rio de Janeiro, Rio de Janeiro, Brazil",4 Wins,6,2010-07-04,"May 18, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",10,2,0,0
UFC 242: Khabib vs. Poirier,Belal Muhammad,30,Welterweight,171.0 lbs,"5'10"" (178cm)","71.0"" (180cm)","Chicago, Illinois, United States",1 Win,10,2010-09-15,"April 13, 2019","Chicago, Illinois, United States",17,3,0,0
UFC 242: Khabib vs. Poirier,"佐藤天, Sato Takashi",29,Welterweight,170.5 lbs,"5'11"" (180cm)","73.0"" (185cm)","Tokyo, Japan",2 Wins,2,2013-10-20,"April 27, 2019","Niigata, Japan",15,2,0,0
UFC 242: Khabib vs. Poirier,Khalid Taha,26,Bantamweight,136.0 lbs,"5'7"" (170cm)","69.0"" (175cm)","Warendorf, Germany",1 Win,3,2012-12-08,"April 13, 2019","Dortmund, Germany",13,3,0,0
UFC 242: Khabib vs. Poirier,Bruno Gustavo Aparecido da Silva,29,Flyweight,125.4 lbs,"5'3"" (160cm)","66.0"" (168cm)","Piracicaba, Sao Paulo, Brazil",2 Wins,1,2011-02-06,"October 27, 2018","Rio de Janeiro, Rio de Janeiro, Brazil",12,3,1,0
UFC 242: Khabib vs. Poirier,Teemu Packalén,32,Lightweight,155.0 lbs,"6'1"" (185cm)","75.5"" (192cm)",Finland,1 Loss,4,2010-04-03,"March 18, 2017","Turku, Finland",15,3,0,0
UFC 242: Khabib vs. Poirier,Ottman Azaitar,29,Welterweight,160.5 lbs,"5'7"" (170cm)",N/A,"Cologne, Germany",11 Wins,1,2014-01-11,"August 18, 2018",Germany,11,0,0,0
UFC 242: Khabib vs. Poirier,Nordine Taleb,37,Welterweight,170.5 lbs,"6'3"" (190cm)","75.0"" (191cm)","Cogolin, France",1 Win,12,2007-11-24,"May 04, 2019","Montreal, Quebec",15,6,0,0
UFC 242: Khabib vs. Poirier,"Muslim Magomedovich Salikhov, Муслим Магоме́дович Салихов",35,Welterweight,171.0 lbs,"5'11"" (180cm)","69.5"" (177cm)","Mkahachkala, Russia",1 Win,3,2011-07-22,"April 14, 2018","Buynaksk, Russia",14,2,0,0
UFC 242: Khabib vs. Poirier,Mairbek Taisumov,30,Lightweight,161.0 lbs,"5'11"" (180cm)","73.0"" (185cm)","Grozny, Chechen Republic, Russia",6 Wins,9,2007-02-23,"September 15, 2018","Vienna, Austria",27,5,0,0
UFC 242: Khabib vs. Poirier,Carlos Diego Ferreira,34,Lightweight,157.0 lbs,"5'9"" (175cm)","74.0"" (188cm)","Manaus, Amazonas, Brazil",4 Wins,9,2011-04-15,"February 23, 2019","McAllen, Texas",15,2,0,0
UFC on ESPN+ 16,Antônio Carlos Júnior,29,Middleweight,185.6 lbs,"6'1"" (185cm)","79.0"" (201cm)","Joao Pessoa, Paraiba, Brazil",1 Loss,12,2013-07-20,"May 18, 2019","Salvador, Bahia, Brazil",10,3,0,1
UFC on ESPN+ 16,Uriah Hall,34,Middleweight,185.5 lbs,"6'0"" (183cm)","79.5"" (202cm)","Spanish Town, Jamaica",1 Win,15,2005-10-29,"December 29, 2018","New York City, New York",14,9,0,0
UFC on ESPN+ 16,David Branch,37,Middleweight,185.5 lbs,"6'1"" (185cm)","78.0"" (198cm)","Charlotte, North Carolina, United States",2 Losses,10,2007-09-29,"March 30, 2019","Brooklyn, New York",22,6,0,0
UFC on ESPN+ 16,Andrew Sanchez,31,Middleweight,184.5 lbs,"6'1"" (185cm)","76.0"" (193cm)",United States,2 Wins,7,2008-07-05,"May 04, 2019",Missouri,14,4,0,0
UFC on ESPN+ 16,Misha Cirkunov,32,Light Heavyweight,206.0 lbs,"6'3"" (191cm)","77.0"" (196cm)","Riga, Latvia",1 Loss,9,2010-01-30,"March 02, 2019","Toronto, Ontario",14,5,0,0
UFC on ESPN+ 16,Jimmy Crute,23,Light Heavyweight,206.0 lbs,"6'3"" (190cm)","72.4"" (184cm)",Australia,10 Wins,3,2016-02-20,"February 09, 2019","Melbourne, Victoria, Australia",10,0,0,0
UFC on ESPN+ 16,Augusto Sakai,28,Heavyweight,264.0 lbs,"6'3"" (191cm)","77.0"" (196cm)","Curitiba, Parana, Brazil",4 Wins,3,2011-10-15,"April 27, 2019","Curitiba, Parana, Brazil",13,1,1,0
UFC on ESPN+ 16,Marcin Tybura,33,Heavyweight,249.0 lbs,"6'3"" (191cm)","78.0"" (198cm)","Uniejów, Poland",1 Loss,9,2011-11-05,"April 20, 2019","Łódź, Poland",17,5,0,0
