Event,Event Date,Event Location,Weight Class,Name,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg,TD Acc,TD Def,Sub. Avg.,Win s,Los s
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Renato Moicano,"5' 11""",145 lbs.,"72""",Orthodox,"May 21, 1989",5.60,46%,3.53,67%,1.18,54%,76%,0.4,13,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",4.12,39%,3.81,60%,0.81,41%,75%,0.7,14,5
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,John Lineker,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",5.36,40%,4.27,56%,0.56,58%,67%,0.6,31,9
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",4.94,40%,3.88,63%,1.29,33%,30%,0.9,16,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Welterweight,Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",5.90,48%,4.76,44%,0.29,33%,47%,0.3,14,6
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Welterweight,Randy Brown,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",2.89,44%,2.37,55%,0.99,41%,77%,0.6,10,3
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",5.57,55%,3.00,69%,1.50,42%,72%,1.0,10,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Montana De La Rosa,"5' 7""",125 lbs.,"68""",,"Feb 14, 1995",3.46,41%,2.29,54%,1.25,22%,0%,3.1,10,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Kevin Holland,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",4.47,55%,2.57,59%,1.52,50%,50%,1.3,15,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.36,41%,2.94,63%,2.48,56%,77%,0.0,12,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.96,46%,3.36,59%,3.30,35%,60%,1.3,11,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Featherweight,Kevin Aguilar,"5' 7""",145 lbs.,"72""",Orthodox,"Sep 07, 1988",4.31,37%,4.04,57%,0.00,0%,89%,0.0,17,1
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Strawweight,Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987",2.67,35%,3.65,51%,1.25,50%,64%,0.8,6,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Strawweight,Syuri Kondo,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989",7.30,43%,8.31,62%,0.00,0%,100%,0.0,6,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Lightweight,Matt Wiman,"5' 10""",155 lbs.,"68""",Orthodox,"Sep 19, 1983",3.51,50%,3.24,54%,2.41,38%,63%,1.8,16,7
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Lightweight,Luis Pena,"6' 3""",155 lbs.,"76""",Southpaw,"Jul 05, 1993",2.48,37%,2.74,52%,1.34,23%,46%,0.5,6,1
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Heavyweight,Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",2.97,51%,2.81,58%,1.86,33%,100%,1.2,10,3
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Heavyweight,Jairzinho Rozenstruik,"6' 2""",242 lbs.,"78""",Orthodox,"Mar 17, 1988",3.22,70%,3.05,33%,0.00,0%,66%,0.0,7,0
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Ariane Lipski,"5' 6""",125 lbs.,--,Orthodox,"Jan 26, 1994",3.53,34%,5.67,50%,1.00,100%,66%,0.0,11,4
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Women's Flyweight,Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",5.30,50%,4.17,67%,1.36,18%,50%,1.4,8,2
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Deron Winn,"5' 7""",185 lbs.,--,Orthodox,"Jun 13, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,0
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Middleweight,Eric Spicely,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986",2.01,40%,3.02,58%,1.95,20%,0%,1.5,12,5
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,Andre Ewell,"5' 11""",135 lbs.,"76""",Southpaw,"Jan 21, 1988",2.33,37%,3.60,51%,0.51,100%,37%,0.0,14,5
UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019","Greenville, South Carolina, USA",Bantamweight,Anderson Dos Santos,"5' 7""",135 lbs.,"67""",Orthodox,"Jul 24, 1985",3.07,27%,5.60,54%,0.00,0%,80%,1.0,20,7
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Heavyweight,Francis Ngannou,"6' 4""",250 lbs.,"83""",Orthodox,"Sep 05, 1986",2.05,37%,1.94,48%,0.00,0%,71%,0.5,13,3
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Heavyweight,Junior Dos Santos,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.76,48%,3.07,58%,0.34,55%,80%,0.1,21,5
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Flyweight,Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.37,39%,2.05,66%,1.97,40%,86%,0.6,23,5
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Flyweight,Joseph Benavidez,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",3.41,33%,2.55,63%,1.58,31%,65%,0.7,27,5
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Welterweight,Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.77,42%,1.94,64%,2.56,25%,65%,1.1,26,9
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Welterweight,Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.82,38%,2.72,59%,0.82,25%,50%,1.1,16,4
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Roosevelt Roberts,"6' 2""",155 lbs.,"73""",Orthodox,"Feb 11, 1994",3.88,62%,2.00,55%,2.77,62%,66%,1.1,8,0
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Vinc Pichel,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",3.12,42%,2.67,54%,4.25,62%,20%,0.2,11,2
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.33,39%,4.14,53%,0.97,17%,60%,0.1,20,9
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Polo Reyes,"5' 11""",155 lbs.,"71""",,"Nov 07, 1984",6.13,36%,5.21,61%,0.00,0%,38%,0.0,8,6
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Light Heavyweight,Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",5.98,51%,1.96,50%,0.00,0%,77%,0.0,8,0
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Light Heavyweight,Paul Craig,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987",1.91,45%,2.82,45%,1.74,19%,50%,1.5,11,3
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Bantamweight,Sergio Pettis,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 18, 1993",3.68,37%,2.93,64%,0.92,40%,67%,0.4,17,5
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Bantamweight,Ricardo Ramos,"5' 9""",135 lbs.,"72""",Orthodox,"Aug 01, 1995",3.22,42%,3.51,56%,1.35,50%,72%,0.7,12,2
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Middleweight,Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",2.82,47%,4.09,49%,1.75,40%,66%,0.1,11,4
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Middleweight,Vinicius Moreira,"6' 4""",185 lbs.,--,Orthodox,"Feb 28, 1989",3.57,60%,5.00,40%,3.57,27%,0%,2.4,9,2
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Featherweight,Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985",2.12,40%,3.49,47%,1.83,34%,35%,2.3,17,4
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Featherweight,Jordan Griffin,"5' 10""",145 lbs.,"72""",Southpaw,"Feb 28, 1990",3.69,49%,3.75,47%,0.00,0%,57%,1.6,17,6
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Jared Gordon,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",7.48,53%,4.41,60%,3.46,40%,75%,0.0,14,3
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Lightweight,Dan Moret,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",2.95,42%,3.81,45%,0.71,11%,20%,0.0,13,5
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Light Heavyweight,Dalcha Lungiambula,"5' 10""",205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,1
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Light Heavyweight,Justin Ledet,"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",3.45,41%,4.46,48%,0.32,50%,40%,0.3,9,2
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Women's Strawweight,Emily Whitmire,"5' 5""",115 lbs.,"63""",,"May 24, 1991",3.57,32%,2.96,57%,1.65,66%,75%,0.8,4,2
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Women's Strawweight,Amanda Ribas,"5' 4""",115 lbs.,--,,"Aug 26, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,1
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Heavyweight,Maurice Greene,"6' 7""",258 lbs.,"82""",,"Jul 05, 1986",4.58,44%,3.83,53%,0.00,0%,66%,0.9,7,3
UFC Fight Night: Ngannou vs. Dos Santos,"June 29, 2019","Minneapolis, Minnesota, USA",Heavyweight,Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.80,53%,5.49,51%,1.76,37%,100%,0.0,14,5
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Light Heavyweight,Jon Jones,"6' 4""",205 lbs.,"84""",Orthodox,"Jul 19, 1987",4.48,57%,2.05,64%,2.07,47%,95%,0.5,24,1
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Light Heavyweight,Thiago Santos,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",5.01,50%,2.16,60%,1.00,40%,67%,0.1,21,6
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Women's Bantamweight,Amanda Nunes,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988",4.65,51%,2.88,57%,1.80,40%,80%,0.6,17,4
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Women's Bantamweight,Holly Holm,"5' 8""",145 lbs.,"69""",Southpaw,"Oct 17, 1981",2.82,34%,2.80,57%,0.56,31%,78%,0.1,12,4
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Welterweight,Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.16,46%,2.95,67%,1.73,58%,77%,0.4,33,13
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Welterweight,Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",0.00,0%,7.80,10%,4.50,50%,0%,4.5,19,0
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Light Heavyweight,Jan Blachowicz,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.50,49%,3.16,53%,1.46,52%,53%,0.3,23,8
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Light Heavyweight,Luke Rockhold,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 17, 1984",4.29,48%,2.32,58%,0.71,40%,68%,1.2,16,4
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Welterweight,Diego Sanchez,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981",2.85,37%,2.90,57%,1.65,24%,50%,0.9,31,11
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Welterweight,Michael Chiesa,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",2.14,38%,2.35,52%,3.32,43%,68%,1.4,15,4
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Featherweight,Gilbert Melendez,"5' 9""",145 lbs.,"73""",Orthodox,"Apr 12, 1982",3.51,33%,2.35,64%,1.70,42%,71%,0.2,22,7
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Featherweight,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",2.19,33%,1.83,61%,1.73,57%,69%,0.7,14,1
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Bantamweight,Sean O'Malley,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994",6.75,56%,4.06,66%,1.31,50%,61%,1.3,10,0
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Bantamweight,Marlon Vera,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",3.30,45%,3.92,52%,0.77,37%,68%,1.3,13,5
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Women's Strawweight,Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.23,42%,4.69,56%,3.72,47%,58%,0.9,16,4
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Women's Strawweight,Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",2.92,41%,3.17,61%,1.67,28%,53%,0.3,9,7
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Bantamweight,Alejandro Perez,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",3.58,35%,2.92,64%,0.53,20%,73%,0.1,22,7
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Bantamweight,Song Yadong,"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997",4.31,41%,2.91,67%,1.54,100%,100%,1.0,14,4
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Middleweight,Edmen Shahbazyan,"6' 2""",185 lbs.,--,Orthodox,"Nov 20, 1997",3.37,59%,2.45,53%,7.36,38%,75%,0.0,9,0
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Middleweight,Jack Marshman,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",2.69,28%,3.40,58%,0.00,0%,22%,0.0,23,8
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Welterweight,Ismail Naurdiev,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 18, 1996",4.20,61%,1.00,57%,0.00,0%,76%,1.0,18,2
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Welterweight,Chance Rencountre,"6' 2""",170 lbs.,"75""",Southpaw,"Dec 31, 1986",1.26,16%,4.13,48%,1.72,33%,25%,0.9,13,3
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Women's Bantamweight,Julia Avila,"5' 4""",135 lbs.,--,,"May 11, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,1
UFC 239: Jones vs. Santos,"July 06, 2019","Las Vegas, Nevada, USA",Women's Bantamweight,Melissa Gatto,"5' 5""",135 lbs.,--,Orthodox,"Feb 05, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,0
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Women's Bantamweight,Germaine de Randamie,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",3.13,45%,2.16,67%,0.00,0%,88%,0.2,8,3
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Women's Bantamweight,Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",5.58,56%,4.89,47%,2.31,80%,66%,1.7,8,0
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Bantamweight,Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2.66,41%,2.51,65%,1.59,31%,60%,0.9,34,10
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Bantamweight,Ricky Simon,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",2.68,40%,3.10,69%,6.75,52%,73%,0.2,15,1
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Featherweight,Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",3.50,36%,3.32,66%,1.58,45%,50%,0.2,14,2
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Featherweight,Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",2.92,46%,1.42,62%,3.59,53%,100%,0.4,13,1
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Lightweight,Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.91,48%,2.68,60%,1.59,31%,80%,0.8,16,4
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Lightweight,Drakkar Klose,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",3.45,50%,3.33,56%,1.60,30%,70%,0.0,10,1
