Event,Event Date,Event Location,Weight Class,Name,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg,TD Acc,TD Def,Sub. Avg.,Win s,Los s
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Middleweight,Karl Roberson,"6' 1""",205 lbs.,"74""",Southpaw,"Oct 04, 1990",3.11,61%,1.44,71%,1.66,75%,57%,1.1,7,2
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Middleweight,John Phillips,"5' 11""",185 lbs.,"75""",Southpaw,"Jun 09, 1985",2.51,33%,4.99,52%,0.00,0%,14%,0.0,21,9
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Middleweight,Marvin Vettori,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",3.41,39%,2.96,64%,1.63,43%,73%,0.9,12,4
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Middleweight,Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.83,42%,2.14,55%,2.97,59%,90%,0.5,14,7
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Light Heavyweight,Gian Villante,"6' 3""",205 lbs.,"76""",Orthodox,"Aug 18, 1985",4.26,42%,5.34,55%,0.53,23%,83%,0.0,17,11
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Light Heavyweight,Mike Rodriguez,"6' 4""",205 lbs.,"82""",Southpaw,"Nov 28, 1988",4.05,64%,3.16,28%,0.00,0%,41%,0.0,10,3
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Featherweight,Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",4.03,37%,3.87,53%,2.50,46%,69%,0.2,19,6
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Featherweight,Sheymon Moraes,"5' 8""",145 lbs.,"72""",Orthodox,"Oct 11, 1990",2.97,41%,3.51,63%,0.00,0%,53%,0.0,11,3
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Women's Bantamweight,Sara McMann,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980",2.37,44%,2.06,47%,4.67,64%,66%,0.5,11,5
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Women's Bantamweight,Nicco Montano,"5' 5""",125 lbs.,"65""",Southpaw,"Dec 16, 1988",7.44,40%,5.28,67%,1.80,50%,77%,0.6,5,2
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Featherweight,Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.36,37%,2.83,53%,2.68,35%,57%,1.3,25,7
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Featherweight,Ryan Hall,"5' 10""",155 lbs.,"71""",,"Feb 22, 1985",2.29,43%,0.52,72%,0.46,20%,0%,0.9,7,1
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Bantamweight,Liu Pingyuan,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",2.90,41%,4.13,46%,0.50,20%,55%,2.0,13,5
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Bantamweight,Jonathan Martinez,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1986",3.93,59%,3.20,43%,1.00,50%,33%,0.0,10,2
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Women's Strawweight,Livinha Souza,"5' 5""",115 lbs.,"63""",Orthodox,"Mar 11, 1991",2.02,39%,2.20,63%,4.59,45%,0%,3.7,13,1
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Women's Strawweight,Brianna Van Buren,"4' 11""",115 lbs.,--,,"Aug 04, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,2
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Bantamweight,Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994",4.89,45%,5.04,59%,0.00,0%,78%,0.5,9,1
UFC Fight Night: De Randamie vs. Ladd,"July 13, 2019","Sacramento, California, USA",Bantamweight,Martin Day,"5' 10""",135 lbs.,"73""",Orthodox,"Nov 10, 1988",5.60,49%,3.20,59%,1.00,66%,85%,1.0,8,3
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Welterweight,Rafael Dos Anjos,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",3.60,45%,3.25,62%,2.02,41%,59%,0.7,29,11
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Welterweight,Leon Edwards,"6' 0""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.35,49%,1.86,55%,1.33,31%,67%,0.5,17,3
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Heavyweight,Greg Hardy,"6' 5""",265 lbs.,"80""",Orthodox,"Jul 28, 1988",5.75,49%,1.74,64%,0.00,0%,80%,0.0,4,1
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Heavyweight,Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.41,55%,2.91,42%,0.99,100%,57%,0.0,5,1
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Heavyweight,Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",3.53,51%,3.55,49%,2.70,39%,20%,2.4,57,12
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Heavyweight,Walt Harris,"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983",2.92,37%,2.67,61%,0.35,33%,76%,0.2,12,7
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Women's Bantamweight,Raquel Pennington,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",3.42,47%,3.31,62%,1.16,28%,64%,0.9,9,8
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Women's Bantamweight,Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",6.32,41%,6.89,60%,0.41,50%,95%,0.2,10,4
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Light Heavyweight,Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",3.17,45%,3.28,55%,0.10,20%,84%,0.1,33,12
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Light Heavyweight,Klidson Abreu,"6' 0""",235 lbs.,"74""",Orthodox,"Dec 24, 1992",1.53,37%,2.00,55%,0.00,0%,66%,0.0,14,3
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Women's Flyweight,Liz Carmouche,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984",3.09,56%,2.63,61%,2.95,55%,67%,0.4,13,6
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Women's Flyweight,Roxanne Modafferi,"5' 7""",125 lbs.,"69""",,"Sep 24, 1982",3.52,31%,5.28,54%,1.75,23%,41%,0.2,23,16
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Bantamweight,Dom Pilarte,"6' 0""",135 lbs.,"74""",Southpaw,"Jan 05, 1990",4.95,50%,7.86,41%,2.18,50%,0%,2.2,8,1
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Bantamweight,Felipe Colares,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 31, 1994",1.40,41%,3.27,35%,3.00,37%,33%,0.0,8,1
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Bantamweight,Mario Bautista,"5' 9""",135 lbs.,"72""",Switch,"Jul 01, 1993",2.56,30%,4.83,68%,4.27,100%,50%,0.0,6,1
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Bantamweight,Jin Soo Son,"5' 6""",135 lbs.,"69""",Orthodox,"Apr 01, 1993",3.87,26%,6.67,56%,1.00,14%,100%,0.0,9,3
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Featherweight,Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",3.84,49%,2.76,64%,0.56,75%,59%,0.8,14,12
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Featherweight,Steven Peterson,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1990",4.38,34%,5.00,56%,2.25,25%,85%,0.5,17,8
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Heavyweight,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.21,42%,2.58,59%,0.55,36%,79%,0.3,27,18
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Heavyweight,Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,"Oct 17, 1981",3.06,42%,4.00,48%,0.76,36%,69%,0.4,36,11
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Lightweight,James Vick,"6' 3""",155 lbs.,"76""",Orthodox,"Feb 23, 1987",4.14,39%,3.14,61%,0.27,33%,56%,0.7,13,3
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Lightweight,Dan Hooker,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",4.35,43%,5.13,54%,0.47,37%,77%,0.5,18,8
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Bantamweight,Ray Borg,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",1.29,48%,1.95,46%,3.39,48%,38%,1.3,11,4
UFC Fight Night: Dos Anjos vs. Edwards,"July 20, 2019","San Antonio, Texas, USA",Bantamweight,Gabriel Silva,"5' 6""",135 lbs.,--,,"Aug 26, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,0
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Featherweight,Max Holloway,"5' 11""",155 lbs.,"69""",Orthodox,"Dec 04, 1991",6.93,45%,4.33,63%,0.29,83%,83%,0.5,20,4
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Featherweight,Frankie Edgar,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981",3.59,40%,2.22,70%,2.47,33%,65%,0.4,22,6
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Women's Featherweight,Cris Cyborg,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 09, 1985",6.99,52%,1.92,69%,0.84,55%,91%,0.3,20,2
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Women's Featherweight,Felicia Spencer,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 29, 1990",6.47,70%,0.88,50%,4.41,50%,0%,4.4,7,0
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Featherweight,Gavin Tucker,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986",2.60,31%,5.07,53%,0.50,20%,42%,0.5,10,1
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Featherweight,Seungwoo Choi,"6' 0""",145 lbs.,"74""",Orthodox,"Nov 03, 1992",1.73,44%,3.33,35%,0.00,0%,68%,0.0,7,2
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Women's Flyweight,Lauren Murphy,"5' 7""",125 lbs.,"67""",Orthodox,"Jul 27, 1983",3.73,40%,3.81,60%,1.00,30%,62%,0.0,10,4
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Women's Flyweight,Mara Romero Borella,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 03, 1986",3.37,37%,3.16,70%,1.82,44%,50%,0.5,12,5
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Women's Flyweight,Gillian Robertson,"5' 5""",125 lbs.,"63""",,"May 17, 1995",1.55,42%,2.34,56%,3.97,50%,0%,2.0,6,3
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Women's Flyweight,Sarah Frota,"5' 6""",115 lbs.,"69""",Southpaw,"Apr 14, 1987",6.29,53%,2.28,64%,0.00,0%,60%,0.0,9,1
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Lightweight,Erik Koch,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 04, 1988",2.32,40%,2.98,45%,0.64,50%,79%,1.1,15,6
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Lightweight,Kyle Stewart,"6' 2""",170 lbs.,"76""",Orthodox,"Jan 31, 1989",1.16,33%,2.32,47%,3.86,100%,50%,0.0,11,2
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Lightweight,Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.59,51%,2.95,55%,2.63,35%,65%,0.6,12,4
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Lightweight,Arman Tsarukyan,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",0.87,30%,0.93,30%,1.00,8%,55%,0.0,13,2
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Women's Flyweight,Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984",4.24,46%,4.15,55%,0.82,40%,34%,0.9,19,9
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Women's Flyweight,Viviane Araujo,"5' 4""",135 lbs.,"68""",Orthodox,"Nov 21, 1986",5.65,53%,4.26,66%,4.17,100%,100%,0.0,7,1
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Flyweight,Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.48,48%,3.23,59%,0.72,50%,62%,1.7,21,3
UFC 240: Holloway vs. Edgar,"July 27, 2019","Edmonton, Alberta, Canada",Flyweight,Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",1.91,48%,1.65,52%,1.82,46%,47%,2.9,15,1
UFC Fight Night: Montevideo,"August 10, 2019","Montevideo, Uruguay",Women's Strawweight,Tecia Torres,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.18,48%,3.23,64%,0.75,16%,50%,0.1,10,4
UFC Fight Night: Montevideo,"August 10, 2019","Montevideo, Uruguay",Women's Strawweight,Marina Rodriguez,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",6.44,54%,3.21,57%,0.45,50%,66%,0.0,11,0
UFC Fight Night: Montevideo,"August 10, 2019","Montevideo, Uruguay",Women's Flyweight,Taila Santos,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 22, 1993",4.23,49%,2.53,63%,1.00,100%,75%,1.0,15,1
UFC Fight Night: Montevideo,"August 10, 2019","Montevideo, Uruguay",Women's Flyweight,Ashlee Evans-Smith,"5' 8""",125 lbs.,"67""",Orthodox,"Jul 09, 1987",4.86,35%,4.39,57%,1.30,25%,72%,0.0,6,4
UFC Fight Night: Montevideo,"August 10, 2019","Montevideo, Uruguay",Women's Flyweight,Veronica Macedo,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995",1.93,45%,3.70,37%,0.83,100%,50%,0.4,5,3
UFC Fight Night: Montevideo,"August 10, 2019","Montevideo, Uruguay",Women's Flyweight,Rachael Ostovich,"5' 3""",125 lbs.,"62""",Orthodox,"Feb 25, 1991",2.32,43%,3.28,59%,3.28,100%,100%,1.3,4,5
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Heavyweight,Daniel Cormier,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",3.84,49%,2.46,58%,2.04,45%,78%,0.5,22,1
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Heavyweight,Stipe Miocic,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",4.76,51%,2.96,62%,2.38,38%,75%,0.0,18,3
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Welterweight,Nate Diaz,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.64,44%,3.69,54%,1.17,30%,45%,1.4,20,11
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Welterweight,Anthony Pettis,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 27, 1987",2.87,45%,3.22,54%,0.73,54%,58%,1.2,22,8
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Middleweight,Yoel Romero,"6' 0""",185 lbs.,"73""",Southpaw,"Apr 30, 1977",3.28,50%,2.77,63%,1.86,32%,78%,0.0,13,3
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Middleweight,Paulo Costa,"6' 1""",185 lbs.,"72""",,"Apr 21, 1991",8.83,59%,5.79,50%,0.00,0%,81%,0.0,12,0
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Bantamweight,Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.34,40%,2.24,70%,1.38,36%,79%,0.3,27,6
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Bantamweight,Cory Sandhagen,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",8.49,48%,4.68,61%,1.80,57%,20%,0.9,11,1
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Featherweight,Gabriel Benitez,"5' 8""",145 lbs.,"71""",Southpaw,"Jun 15, 1988",4.23,42%,2.60,73%,0.23,100%,56%,1.6,21,7
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Featherweight,Sodiq Yusuff,"5' 9""",145 lbs.,"71""",Orthodox,"May 19, 1993",6.42,51%,4.22,51%,0.00,0%,100%,0.0,9,1
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Women's Flyweight,Poliana Botelho,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",3.65,58%,2.77,55%,1.27,100%,88%,0.0,8,2
UFC 241: Cormier vs. Miocic 2,"August 17, 2019","Anaheim, California, USA",Women's Flyweight,Maryna Moroz,"5' 7""",125 lbs.,"67""",Orthodox,"Sep 08, 1991",3.25,25%,3.87,55%,0.33,14%,47%,0.5,9,3
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Lightweight,Khabib Nurmagomedov,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",4.29,49%,1.70,66%,5.09,44%,84%,0.6,27,0
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Lightweight,Dustin Poirier,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",5.75,49%,4.08,56%,1.63,37%,69%,1.2,25,5
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Heavyweight,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.64,44%,2.36,60%,1.34,24%,66%,0.2,20,4
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Heavyweight,Curtis Blaydes,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",3.71,51%,2.03,55%,6.79,57%,25%,0.0,11,2
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Lightweight,Islam Makhachev,"5' 10""",155 lbs.,"70""",Orthodox,"Oct 27, 1991",1.91,61%,0.83,66%,4.25,70%,92%,1.0,17,1
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Lightweight,Davi Ramos,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986",3.47,43%,2.79,58%,3.19,52%,0%,1.0,10,2
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Lightweight,Mairbek Taisumov,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988",2.88,41%,2.02,63%,1.66,77%,87%,0.0,27,5
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Lightweight,Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",4.70,37%,3.03,59%,0.70,23%,67%,1.2,15,2
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Welterweight,Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.39,41%,3.95,59%,2.11,33%,90%,0.1,15,3
UFC 242: Khabib vs. Poirier,"September 07, 2019",---,Welterweight,Takashi Sato,"5' 10""",170 lbs.,"73""",Southpaw,"Jun 09, 1990",4.44,40%,7.30,48%,0.00,0%,0%,0.0,15,2
